REZ: 28.24 TrueSkill (mu 30.96, sigma 0.91), 187 kills - 168 deaths
click: 28.23 TrueSkill (mu 30.94, sigma 0.90), 81 kills - 87 deaths
LTN: 28.14 TrueSkill (mu 35.66, sigma 2.51), 57 kills - 53 deaths
Amanek: 28.11 TrueSkill (mu 32.27, sigma 1.39), 32 kills - 39 deaths
stYle: 28.03 TrueSkill (mu 30.72, sigma 0.90), 94 kills - 101 deaths
Rap: 28.02 TrueSkill (mu 31.66, sigma 1.21), 52 kills - 56 deaths
Laz: 28.02 TrueSkill (mu 31.64, sigma 1.21), 56 kills - 47 deaths
ashley: 28.02 TrueSkill (mu 31.58, sigma 1.19), 48 kills - 44 deaths
PeetyG: 28.01 TrueSkill (mu 30.70, sigma 0.90), 151 kills - 153 deaths
Fadey: 28.01 TrueSkill (mu 31.20, sigma 1.06), 110 kills - 119 deaths
Chrisoaow: 27.99 TrueSkill (mu 30.76, sigma 0.92), 144 kills - 133 deaths
xevR: 27.95 TrueSkill (mu 30.40, sigma 0.82), 247 kills - 260 deaths
uki: 27.93 TrueSkill (mu 30.51, sigma 0.86), 280 kills - 271 deaths
Nembo: 27.93 TrueSkill (mu 30.66, sigma 0.91), 165 kills - 104 deaths
k0na: 27.91 TrueSkill (mu 32.10, sigma 1.40), 52 kills - 41 deaths
mikeS: 27.86 TrueSkill (mu 30.58, sigma 0.91), 419 kills - 400 deaths
matHEND: 27.78 TrueSkill (mu 30.24, sigma 0.82), 489 kills - 482 deaths
Calyx: 27.73 TrueSkill (mu 30.42, sigma 0.90), 119 kills - 84 deaths
karrigan: 27.71 TrueSkill (mu 30.09, sigma 0.79), 2469 kills - 2665 deaths
FejtZ: 27.71 TrueSkill (mu 30.19, sigma 0.83), 176 kills - 207 deaths
bondik: 27.70 TrueSkill (mu 30.09, sigma 0.80), 570 kills - 549 deaths
dsr: 27.69 TrueSkill (mu 32.81, sigma 1.71), 64 kills - 51 deaths
RUSH: 27.69 TrueSkill (mu 30.14, sigma 0.81), 854 kills - 798 deaths
spyleadeR: 27.68 TrueSkill (mu 30.15, sigma 0.82), 1118 kills - 1055 deaths
hANZEY: 27.66 TrueSkill (mu 32.87, sigma 1.74), 14 kills - 19 deaths
schneider: 27.63 TrueSkill (mu 30.01, sigma 0.79), 678 kills - 596 deaths
cajunb: 27.53 TrueSkill (mu 29.89, sigma 0.79), 2772 kills - 2524 deaths
Fuks: 27.51 TrueSkill (mu 29.90, sigma 0.80), 465 kills - 457 deaths
DEVIL: 27.51 TrueSkill (mu 29.97, sigma 0.82), 556 kills - 463 deaths
GuardiaN: 27.50 TrueSkill (mu 29.89, sigma 0.80), 1944 kills - 1597 deaths
f0rest: 27.45 TrueSkill (mu 29.82, sigma 0.79), 939 kills - 800 deaths
fAst: 27.44 TrueSkill (mu 32.58, sigma 1.71), 44 kills - 33 deaths
Devoduvek: 27.43 TrueSkill (mu 31.60, sigma 1.39), 36 kills - 46 deaths
HackeM: 27.42 TrueSkill (mu 30.10, sigma 0.90), 169 kills - 151 deaths
awwe: 27.41 TrueSkill (mu 32.90, sigma 1.83), 20 kills - 19 deaths
olofmeister: 27.41 TrueSkill (mu 29.81, sigma 0.80), 2273 kills - 1943 deaths
SimonB: 27.41 TrueSkill (mu 36.18, sigma 2.92), 48 kills - 16 deaths
Menace: 27.41 TrueSkill (mu 29.98, sigma 0.86), 278 kills - 260 deaths
enndy: 27.38 TrueSkill (mu 30.85, sigma 1.16), 42 kills - 46 deaths
Xyp9x: 27.36 TrueSkill (mu 29.74, sigma 0.79), 2607 kills - 2466 deaths
d3k1: 27.36 TrueSkill (mu 31.92, sigma 1.52), 45 kills - 36 deaths
markeloff: 27.34 TrueSkill (mu 29.71, sigma 0.79), 524 kills - 542 deaths
bodyy: 27.33 TrueSkill (mu 29.77, sigma 0.81), 500 kills - 419 deaths
lef: 27.32 TrueSkill (mu 32.40, sigma 1.69), 45 kills - 38 deaths
hampus: 27.32 TrueSkill (mu 30.04, sigma 0.90), 100 kills - 89 deaths
AZR: 27.28 TrueSkill (mu 29.74, sigma 0.82), 630 kills - 622 deaths
prakM: 27.27 TrueSkill (mu 31.43, sigma 1.39), 35 kills - 38 deaths
BERRY: 27.27 TrueSkill (mu 29.83, sigma 0.85), 510 kills - 602 deaths
dream3r: 27.26 TrueSkill (mu 29.77, sigma 0.84), 923 kills - 778 deaths
MalthS: 27.20 TrueSkill (mu 33.38, sigma 2.06), 19 kills - 16 deaths
g0g1: 27.19 TrueSkill (mu 29.81, sigma 0.87), 124 kills - 134 deaths
bubble: 27.16 TrueSkill (mu 29.65, sigma 0.83), 1082 kills - 929 deaths
rain: 27.16 TrueSkill (mu 29.54, sigma 0.79), 1498 kills - 1478 deaths
dennis: 27.14 TrueSkill (mu 29.52, sigma 0.79), 2174 kills - 1964 deaths
v1c7oR: 27.12 TrueSkill (mu 29.62, sigma 0.83), 1119 kills - 978 deaths
uNdo: 27.11 TrueSkill (mu 29.50, sigma 0.80), 181 kills - 201 deaths
ncl: 27.09 TrueSkill (mu 29.63, sigma 0.85), 272 kills - 268 deaths
AlexBorg: 27.09 TrueSkill (mu 32.03, sigma 1.65), 33 kills - 31 deaths
Savage: 27.06 TrueSkill (mu 29.83, sigma 0.92), 159 kills - 150 deaths
zehN: 27.03 TrueSkill (mu 29.64, sigma 0.87), 134 kills - 150 deaths
tarik: 27.02 TrueSkill (mu 29.60, sigma 0.86), 1806 kills - 1640 deaths
xccurate: 26.99 TrueSkill (mu 30.10, sigma 1.04), 118 kills - 77 deaths
Shara: 26.99 TrueSkill (mu 29.35, sigma 0.79), 241 kills - 273 deaths
